2025-06-22 20:39:57.058 | ERROR    | utils.ai_providers:generate_rules:203 | OpenRouter API错误: 401 - {"error":{"message":"No auth credentials found","code":401}}
2025-06-22 20:39:57.059 | INFO     | utils.ai_providers:generate_rules:145 | 正在调用OpenRouter API生成规则... 模型: google/gemma-7b-it:free
2025-06-22 20:39:57.836 | ERROR    | utils.ai_providers:generate_rules:203 | OpenRouter API错误: 401 - {"error":{"message":"No auth credentials found","code":401}}
2025-06-22 20:40:09.257 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 20:40:09.526 | INFO     | utils.ai_providers:_setup_providers:265 | 注册OpenRouter提供商: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:40:09.526 | INFO     | utils.ai_providers:_setup_providers:272 | 注册Groq提供商: llama3-8b-8192
2025-06-22 20:40:09.527 | INFO     | utils.ai_providers:_setup_providers:287 | 自动选择AI提供商: openrouter
2025-06-22 20:40:10.048 | INFO     | utils.icon_manager:__init__:109 | 桌面图标管理器初始化完成
2025-06-22 20:40:10.049 | INFO     | perception:__init__:80 | 桌面感知系统初始化完成
2025-06-22 20:40:10.049 | INFO     | perception:create_desktop_snapshot:91 | 开始创建桌面状态快照
2025-06-22 20:40:10.055 | WARNING  | utils.icon_manager:get_all_icon_positions:169 | ListView句柄无效，无法获取图标位置
2025-06-22 20:40:10.056 | INFO     | utils.logger:wrapper:140 | 执行完成: get_all_icon_positions (耗时: 0.001秒)
2025-06-22 20:40:10.056 | ERROR    | utils.icon_manager:get_desktop_regions:366 | 获取桌面区域失败: unsupported operand type(s) for //: 'NoneType' and 'int'
2025-06-22 20:40:10.056 | INFO     | perception:create_desktop_snapshot:130 | 桌面快照创建完成: 45 个文件
2025-06-22 20:40:10.056 | INFO     | utils.logger:wrapper:140 | 执行完成: create_desktop_snapshot (耗时: 0.007秒)
2025-06-22 20:40:10.058 | INFO     | perception:save_snapshot_to_file:396 | 桌面快照已保存: C:\Users\17745\data\demo_snapshot.json
2025-06-22 20:40:10.059 | INFO     | utils.ai_providers:switch_provider:305 | 切换到AI提供商: openrouter
2025-06-22 20:40:10.060 | INFO     | utils.ai_providers:switch_provider:305 | 切换到AI提供商: groq
2025-06-22 20:40:10.060 | INFO     | utils.ai_providers:switch_provider:305 | 切换到AI提供商: openrouter
2025-06-22 20:40:10.061 | INFO     | strategy:__init__:98 | AI策略引擎初始化完成 - 使用Groq AI
2025-06-22 20:40:10.062 | INFO     | strategy:generate_rules_from_llm:210 | 开始使用Groq AI生成整理规则
2025-06-22 20:40:10.062 | INFO     | utils.ai_providers:generate_rules:339 | 使用 OpenRouter (meta-llama/llama-3.1-8b-instruct:free) 生成规则
2025-06-22 20:40:10.062 | INFO     | utils.ai_providers:generate_rules:145 | 正在调用OpenRouter API生成规则... 模型: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:40:10.942 | ERROR    | utils.ai_providers:generate_rules:203 | OpenRouter API错误: 401 - {"error":{"message":"No auth credentials found","code":401}}
2025-06-22 20:40:10.943 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_001
2025-06-22 20:40:10.944 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_002
2025-06-22 20:40:10.944 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_003
2025-06-22 20:40:10.945 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_004
2025-06-22 20:40:10.945 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_005
2025-06-22 20:40:10.946 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_006
2025-06-22 20:40:10.946 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_007
2025-06-22 20:40:10.946 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_008
2025-06-22 20:40:10.946 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_009
2025-06-22 20:40:10.946 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_010
2025-06-22 20:40:10.946 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_011
2025-06-22 20:40:10.947 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_012
2025-06-22 20:40:10.947 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_013
2025-06-22 20:40:10.947 | INFO     | strategy:_validate_and_optimize_rules:400 | 规则验证完成: 0/0 有效
2025-06-22 20:40:10.948 | INFO     | strategy:generate_rules_from_llm:226 | Groq AI规则生成成功: 0 条规则
2025-06-22 20:40:10.950 | INFO     | strategy:save_rules_to_file:451 | 规则集已保存: D:\python项目\Aether_Desktop\data\demo_rules.json
2025-06-22 20:40:10.951 | INFO     | execution:__init__:463 | 执行引擎初始化完成
2025-06-22 20:41:41.799 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 20:41:41.800 | INFO     | utils.ai_providers:_setup_providers:265 | 注册OpenRouter提供商: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:41:41.801 | INFO     | utils.ai_providers:_setup_providers:272 | 注册Groq提供商: llama3-8b-8192
2025-06-22 20:41:41.801 | INFO     | utils.ai_providers:_setup_providers:287 | 自动选择AI提供商: openrouter
2025-06-22 20:41:52.335 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 20:41:52.659 | INFO     | utils.ai_providers:_setup_providers:265 | 注册OpenRouter提供商: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:41:52.659 | INFO     | utils.ai_providers:_setup_providers:272 | 注册Groq提供商: llama3-8b-8192
2025-06-22 20:41:52.660 | INFO     | utils.ai_providers:_setup_providers:287 | 自动选择AI提供商: openrouter
2025-06-22 20:42:08.317 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 20:42:08.585 | INFO     | utils.ai_providers:_setup_providers:265 | 注册OpenRouter提供商: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:42:08.585 | INFO     | utils.ai_providers:_setup_providers:272 | 注册Groq提供商: llama3-8b-8192
2025-06-22 20:42:08.586 | INFO     | utils.ai_providers:_setup_providers:281 | 使用指定的AI提供商: groq
2025-06-22 20:43:10.266 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 20:43:10.267 | INFO     | utils.ai_providers:_setup_providers:265 | 注册OpenRouter提供商: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:43:10.268 | INFO     | utils.ai_providers:_setup_providers:272 | 注册Groq提供商: llama3-8b-8192
2025-06-22 20:43:10.268 | INFO     | utils.ai_providers:_setup_providers:281 | 使用指定的AI提供商: groq
2025-06-22 20:44:26.117 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 20:44:26.118 | INFO     | utils.ai_providers:_setup_providers:265 | 注册OpenRouter提供商: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:44:26.118 | INFO     | utils.ai_providers:_setup_providers:272 | 注册Groq提供商: llama3-8b-8192
2025-06-22 20:44:26.118 | INFO     | utils.ai_providers:_setup_providers:287 | 自动选择AI提供商: openrouter
2025-06-22 20:44:39.230 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 20:44:39.510 | INFO     | utils.ai_providers:_setup_providers:265 | 注册OpenRouter提供商: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:44:39.510 | INFO     | utils.ai_providers:_setup_providers:272 | 注册Groq提供商: llama3-8b-8192
2025-06-22 20:44:39.511 | INFO     | utils.ai_providers:_setup_providers:287 | 自动选择AI提供商: openrouter
2025-06-22 20:44:39.512 | INFO     | utils.ai_providers:generate_rules:145 | 正在调用OpenRouter API生成规则... 模型: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:44:46.590 | INFO     | utils.ai_providers:generate_rules:197 | OpenRouter API调用成功，规则生成完毕
2025-06-22 20:44:46.594 | INFO     | utils.ai_providers:switch_provider:305 | 切换到AI提供商: openrouter
2025-06-22 20:44:46.594 | INFO     | utils.ai_providers:generate_rules:339 | 使用 OpenRouter (meta-llama/llama-3.1-8b-instruct:free) 生成规则
2025-06-22 20:44:46.595 | INFO     | utils.ai_providers:generate_rules:145 | 正在调用OpenRouter API生成规则... 模型: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:44:51.704 | INFO     | utils.ai_providers:generate_rules:197 | OpenRouter API调用成功，规则生成完毕
2025-06-22 20:44:51.706 | INFO     | utils.ai_providers:generate_rules:145 | 正在调用OpenRouter API生成规则... 模型: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:44:53.720 | INFO     | utils.ai_providers:generate_rules:197 | OpenRouter API调用成功，规则生成完毕
2025-06-22 20:44:53.721 | INFO     | utils.ai_providers:generate_rules:145 | 正在调用OpenRouter API生成规则... 模型: microsoft/phi-3-mini-128k-instruct:free
2025-06-22 20:44:54.755 | ERROR    | utils.ai_providers:generate_rules:203 | OpenRouter API错误: 404 - {"error":{"message":"No endpoints found for microsoft/phi-3-mini-128k-instruct:free.","code":404},"user_id":"user_2vGcvfA4LUcvPZ94mwFlbhItOMS"}
2025-06-22 20:44:54.755 | INFO     | utils.ai_providers:generate_rules:145 | 正在调用OpenRouter API生成规则... 模型: google/gemma-7b-it:free
2025-06-22 20:44:55.902 | ERROR    | utils.ai_providers:generate_rules:203 | OpenRouter API错误: 404 - {"error":{"message":"No endpoints found for google/gemma-7b-it:free.","code":404},"user_id":"user_2vGcvfA4LUcvPZ94mwFlbhItOMS"}
2025-06-22 20:45:21.694 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 20:45:21.979 | INFO     | utils.ai_providers:_setup_providers:265 | 注册OpenRouter提供商: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:45:21.980 | INFO     | utils.ai_providers:_setup_providers:272 | 注册Groq提供商: llama3-8b-8192
2025-06-22 20:45:21.980 | INFO     | utils.ai_providers:_setup_providers:287 | 自动选择AI提供商: openrouter
2025-06-22 20:45:22.521 | INFO     | utils.icon_manager:__init__:109 | 桌面图标管理器初始化完成
2025-06-22 20:45:22.521 | INFO     | perception:__init__:80 | 桌面感知系统初始化完成
2025-06-22 20:45:22.522 | INFO     | perception:create_desktop_snapshot:91 | 开始创建桌面状态快照
2025-06-22 20:45:22.528 | WARNING  | utils.icon_manager:get_all_icon_positions:169 | ListView句柄无效，无法获取图标位置
2025-06-22 20:45:22.528 | INFO     | utils.logger:wrapper:140 | 执行完成: get_all_icon_positions (耗时: 0.000秒)
2025-06-22 20:45:22.528 | ERROR    | utils.icon_manager:get_desktop_regions:366 | 获取桌面区域失败: unsupported operand type(s) for //: 'NoneType' and 'int'
2025-06-22 20:45:22.529 | INFO     | perception:create_desktop_snapshot:130 | 桌面快照创建完成: 45 个文件
2025-06-22 20:45:22.529 | INFO     | utils.logger:wrapper:140 | 执行完成: create_desktop_snapshot (耗时: 0.007秒)
2025-06-22 20:45:22.531 | INFO     | perception:save_snapshot_to_file:396 | 桌面快照已保存: C:\Users\17745\data\demo_snapshot.json
2025-06-22 20:45:22.532 | INFO     | utils.ai_providers:switch_provider:305 | 切换到AI提供商: openrouter
2025-06-22 20:45:22.533 | INFO     | utils.ai_providers:switch_provider:305 | 切换到AI提供商: groq
2025-06-22 20:45:22.533 | INFO     | utils.ai_providers:switch_provider:305 | 切换到AI提供商: openrouter
2025-06-22 20:45:22.533 | INFO     | strategy:__init__:98 | AI策略引擎初始化完成 - 使用Groq AI
2025-06-22 20:45:22.534 | INFO     | strategy:generate_rules_from_llm:210 | 开始使用Groq AI生成整理规则
2025-06-22 20:45:22.534 | INFO     | utils.ai_providers:generate_rules:339 | 使用 OpenRouter (meta-llama/llama-3.1-8b-instruct:free) 生成规则
2025-06-22 20:45:22.534 | INFO     | utils.ai_providers:generate_rules:145 | 正在调用OpenRouter API生成规则... 模型: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:45:31.078 | INFO     | utils.ai_providers:generate_rules:197 | OpenRouter API调用成功，规则生成完毕
2025-06-22 20:45:31.078 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_001
2025-06-22 20:45:31.079 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_002
2025-06-22 20:45:31.079 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_003
2025-06-22 20:45:31.079 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_004
2025-06-22 20:45:31.079 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_005
2025-06-22 20:45:31.080 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_006
